yy mm dd HH MM SS obs-obs-1-1-t2m obs-obs-1-1-ws_10min obs-obs-1-1-wg_10min obs-obs-1-1-wd_10min obs-obs-1-1-rh obs-obs-1-1-td obs-obs-1-1-r_1h obs-obs-1-1-ri_10min obs-obs-1-1-snow_aws obs-obs-1-1-p_sea obs-obs-1-1-vis obs-obs-1-1-n_man obs-obs-1-1-wawa
2017 01 01 00 00 00 3.3 5.2 7.4 250.0 93.0 2.3 0.0 0.0 0.0 998.4 15780.0 0.0 0.0
2017 01 01 00 10 00 3.2 5.2 7.0 244.0 92.0 2.0 NaN 0.0 0.0 998.4 18050.0 0.0 0.0
2017 01 01 00 20 00 3.1 4.3 6.2 242.0 92.0 1.8 NaN 0.0 0.0 998.3 19500.0 0.0 0.0
2017 01 01 00 30 00 3.0 4.6 6.4 242.0 92.0 1.8 NaN 0.0 0.0 998.3 18780.0 0.0 0.0
2017 01 01 00 40 00 2.8 3.4 5.0 253.0 91.0 1.4 NaN 0.0 0.0 998.3 18140.0 0.0 0.0
2017 01 01 00 50 00 2.1 3.4 5.1 250.0 92.0 1.0 NaN 0.0 0.0 998.4 16740.0 0.0 0.0
2017 01 01 01 00 00 2.3 3.1 4.9 255.0 93.0 1.4 0.0 0.0 0.0 998.4 17290.0 0.0 0.0
2017 01 01 01 10 00 1.6 4.0 5.6 241.0 93.0 0.7 NaN 0.0 0.0 998.4 16470.0 0.0 0.0
2017 01 01 01 20 00 2.4 4.4 6.3 238.0 94.0 1.6 NaN 0.0 0.0 998.3 19530.0 0.0 0.0
2017 01 01 01 30 00 2.4 4.2 6.4 243.0 93.0 1.4 NaN 0.0 0.0 998.3 19150.0 0.0 0.0
2017 01 01 01 40 00 2.2 3.5 4.8 246.0 92.0 0.9 NaN 0.0 0.0 998.2 21470.0 0.0 0.0
2017 01 01 01 50 00 1.6 3.5 5.1 237.0 93.0 0.6 NaN 0.0 0.0 998.2 19060.0 0.0 0.0
2017 01 01 02 00 00 1.7 3.8 5.1 232.0 94.0 0.8 0.0 0.0 0.0 998.1 18810.0 0.0 0.0
2017 01 01 02 10 00 1.8 4.0 5.3 229.0 94.0 0.9 NaN 0.0 0.0 998.1 22120.0 0.0 0.0
2017 01 01 02 20 00 1.9 4.1 6.2 233.0 93.0 0.9 NaN 0.0 0.0 998.1 23860.0 0.0 0.0
2017 01 01 02 30 00 2.0 3.8 5.4 235.0 93.0 1.0 NaN 0.0 0.0 998.1 23440.0 0.0 0.0
2017 01 01 02 40 00 1.7 3.2 5.0 235.0 92.0 0.6 NaN 0.0 0.0 998.0 26420.0 1.0 0.0
2017 01 01 02 50 00 1.7 3.8 5.5 232.0 93.0 0.7 NaN 0.0 0.0 997.9 25360.0 5.0 0.0
2017 01 01 03 00 00 1.6 3.5 5.3 234.0 93.0 0.5 0.0 0.0 0.0 997.9 23800.0 7.0 0.0
2017 01 01 03 10 00 1.8 3.6 5.2 241.0 93.0 0.8 NaN 0.0 0.0 997.8 23560.0 7.0 0.0
2017 01 01 03 20 00 1.9 4.0 5.5 248.0 92.0 0.8 NaN 0.0 0.0 997.7 26000.0 7.0 0.0
2017 01 01 03 30 00 1.8 4.0 5.4 249.0 91.0 0.5 NaN 0.0 0.0 997.7 26110.0 7.0 0.0
2017 01 01 03 40 00 1.6 3.5 5.0 254.0 91.0 0.4 NaN 0.0 0.0 997.8 23200.0 3.0 0.0
2017 01 01 03 50 00 1.4 3.5 4.9 253.0 92.0 0.3 NaN 0.0 0.0 997.7 25340.0 3.0 0.0
2017 01 01 04 00 00 1.3 3.3 5.0 254.0 93.0 0.2 0.0 0.0 0.0 997.7 25670.0 3.0 0.0
2017 01 01 04 10 00 1.1 3.3 4.1 249.0 93.0 0.1 NaN 0.0 0.0 997.7 23180.0 5.0 0.0
2017 01 01 04 20 00 1.1 3.3 4.4 254.0 93.0 0.1 NaN 0.0 0.0 997.9 24640.0 7.0 0.0
2017 01 01 04 30 00 0.8 3.5 5.0 252.0 93.0 -0.1 NaN 0.0 0.0 997.9 24400.0 7.0 0.0
2017 01 01 04 40 00 0.9 3.8 5.3 246.0 94.0 0.0 NaN 0.0 0.0 997.8 24240.0 7.0 0.0
2017 01 01 04 50 00 1.3 4.0 5.3 245.0 93.0 0.3 NaN 0.0 0.0 997.7 30930.0 3.0 0.0
2017 01 01 05 00 00 1.0 3.9 5.1 244.0 92.0 -0.1 0.0 0.0 0.0 997.6 29590.0 1.0 0.0
2017 01 01 05 10 00 1.0 3.5 4.6 239.0 92.0 -0.1 NaN 0.0 0.0 997.6 27060.0 3.0 0.0
2017 01 01 05 20 00 0.8 3.4 4.4 235.0 93.0 -0.2 NaN 0.0 0.0 997.6 27370.0 5.0 0.0
2017 01 01 05 30 00 0.8 3.9 5.5 233.0 93.0 -0.1 NaN 0.0 0.0 997.4 23580.0 7.0 0.0
2017 01 01 05 40 00 1.3 3.2 4.6 243.0 93.0 0.3 NaN 0.0 0.0 997.5 31510.0 7.0 0.0
2017 01 01 05 50 00 1.3 3.2 4.6 250.0 92.0 0.2 NaN 0.0 0.0 997.7 29340.0 7.0 0.0
2017 01 01 06 00 00 1.3 3.6 5.3 242.0 92.0 0.2 0.0 0.0 0.0 997.7 29440.0 7.0 0.0
2017 01 01 06 10 00 1.3 2.9 4.4 251.0 91.0 0.0 NaN 0.0 0.0 997.7 28660.0 7.0 0.0
2017 01 01 06 20 00 0.9 3.4 4.6 242.0 93.0 -0.1 NaN 0.0 0.0 997.5 26460.0 7.0 0.0
2017 01 01 06 30 00 0.8 3.5 4.5 244.0 93.0 -0.2 NaN 0.0 0.0 997.6 28040.0 7.0 0.0
